X.Intercept.,X.L.l_he_rate..1..,X.L.l_he_rate..2..,l_share_extranjeros,X.L.l_share_extranjeros..1..,X.L.l_share_extranjeros..2..,l_pib_pc_real,X.L.l_pib_pc_real..1..,X.L.l_pib_pc_real..2..
1,8.445507905156594,8.437374430111266,-2.208392195476777,-2.182592733638803,-2.162992090774482,10.067305637765523,10.096584182498042,10.106836476522158
1,8.437801839211208,8.445507905156594,-2.259603611961879,-2.208392195476777,-2.182592733638803,10.056637732029802,10.067305637765523,10.096584182498042
1,8.455543025706733,8.437801839211208,-2.3291937908369236,-2.259603611961879,-2.208392195476777,10.074495349429808,10.056637732029802,10.067305637765523
1,8.427663607889933,8.455543025706733,-2.3520982941485964,-2.3291937908369236,-2.259603611961879,10.115367911571628,10.074495349429808,10.056637732029802
1,8.346954780219429,8.427663607889933,-2.359508327036664,-2.3520982941485964,-2.3291937908369236,10.143291544743445,10.115367911571628,10.074495349429808
1,8.320487448474637,8.346954780219429,-2.34659384908991,-2.359508327036664,-2.3520982941485964,10.170073661693175,10.143291544743445,10.115367911571628
1,8.338896230734298,8.320487448474637,-2.302282518971194,-2.34659384908991,-2.359508327036664,10.189418091949102,10.170073661693175,10.143291544743445
1,8.360889018716701,8.338896230734298,-2.2358698977905647,-2.302282518971194,-2.34659384908991,10.200996185805645,10.189418091949102,10.170073661693175
1,8.395535509016428,8.360889018716701,-2.1110192107094155,-2.2358698977905647,-2.302282518971194,10.1950371365144,10.200996185805645,10.189418091949102
1,8.481000094138787,8.395535509016428,-2.0396010578613226,-2.1110192107094155,-2.2358698977905647,10.20913232536208,10.1950371365144,10.200996185805645
