Package,LibPath,Version,Priority,Built
htmltools,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.5.8.1,NA,4.5.1
htmlwidgets,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.6.4,NA,4.5.1
httpuv,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.6.16,NA,4.5.1
httr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.7,NA,4.5.1
ids,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0.1,NA,4.5.1
insight,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.1,NA,4.5.1
isoband,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.2.7,NA,4.5.1
janitor,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2.1,NA,4.5.1
jquerylib,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1.4,NA,4.5.1
jsonlite,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.0,NA,4.5.1
juicyjuice,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1.0,NA,4.5.1
kableExtra,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.0,NA,4.5.1
KernSmooth,C:/Program Files/R/R-4.5.1/library,2.23-26,recommended,4.5.1
knitr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.50,NA,4.5.1
labeling,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.3,NA,4.5.0
later,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.3,NA,4.5.1
lattice,C:/Program Files/R/R-4.5.1/library,0.22-7,recommended,4.5.1
lazyeval,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.2.2,NA,4.5.1
leaflet,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2.2,NA,4.5.1
leaflet.providers,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.0,NA,4.5.1
lifecycle,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0.4,NA,4.5.1
litedown,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.7,NA,4.5.1
lme4,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1-37,NA,4.5.1
lmtest,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.9-40,NA,4.5.1
lubridate,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.9.4,NA,4.5.1
magrittr,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.3,NA,4.5.1
markdown,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0,NA,4.5.1
MASS,C:/Program Files/R/R-4.5.1/library,7.3-65,recommended,4.5.1
Matrix,C:/Program Files/R/R-4.5.1/library,1.7-3,recommended,4.5.1
MatrixModels,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.5-4,NA,4.5.1
memoise,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.1,NA,4.5.1
methods,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
mgcv,C:/Program Files/R/R-4.5.1/library,1.9-3,recommended,4.5.1
microbenchmark,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5.0,NA,4.5.1
mime,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.13,NA,4.5.0
minqa,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.8,NA,4.5.1
modelr,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1.11,NA,4.5.1
modelsummary,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.5.0,NA,4.5.1
msm,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.8.2,NA,4.5.1
mvtnorm,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3-3,NA,4.5.1
nlme,C:/Program Files/R/R-4.5.1/library,3.1-168,recommended,4.5.1
nloptr,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2.1,NA,4.5.1
nnet,C:/Program Files/R/R-4.5.1/library,7.3-20,recommended,4.5.1
numDeriv,C:/Users/jesus/AppData/Local/R/win-library/4.5,2016.8-1.1,NA,4.5.0
openssl,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.3.3,NA,4.5.1
parallel,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
parameters,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.28.1,NA,4.5.1
patchwork,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3.2,NA,4.5.1
pbkrtest,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.5.5,NA,4.5.1
pdftools,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.5.0,NA,4.5.1
performance,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.15.1,NA,4.5.1
pillar,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.11.0,NA,4.5.1
pkgconfig,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.3,NA,4.5.1
plotly,C:/Users/jesus/AppData/Local/R/win-library/4.5,4.11.0,NA,4.5.1
png,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1-8,NA,4.5.0
ppcor,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1,NA,4.5.1
prettyunits,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.0,NA,4.5.1
processx,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.8.6,NA,4.5.1
progress,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.3,NA,4.5.1
promises,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3.3,NA,4.5.1
proxy,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4-27,NA,4.5.1
ps,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.9.1,NA,4.5.1
purrr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.0,NA,4.5.1
qpdf,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.1,NA,4.5.1
quadprog,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5-8,NA,4.5.0
quantmod,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.28,NA,4.5.1
